,콘존ID,방향,grs80x,grs80y,노선번호,노선명,위도,경도
3523,0351CZE170,E,196418.258697,493525.048689,400,평택제천선,37.040650705677265,126.95973955087892
3524,0351CZE170,E,197421.76278599998,492557.817015,400,평택제천선,37.031938497132785,126.97102271698846
3525,0351CZE170,E,198046.22548800003,492061.769903,400,평택제천선,37.027470233025824,126.97804245450028
3526,0351CZE180,E,198876.075344,491722.594208,400,평택제천선,37.02441535320836,126.98736924935248
3527,0351CZE180,E,199868.761931,491651.614703,400,평택제천선,37.02377643499981,126.99852514896072
3528,0351CZE190,E,201356.473514,491841.23729799996,400,평택제천선,37.02548411373114,127.01524436591573
3529,0351CZE190,E,202150.404397,491937.81738,400,평택제천선,37.02635289436408,127.0241670215553
3530,0351CZE190,E,204232.495687,491751.045605,400,평택제천선,37.02466286233934,127.0475652608953
3531,0351CZE200,E,205927.861072,491835.95105,400,평택제천선,37.02541876046445,127.06661862511883
3532,0351CZE200,E,206754.838436,492178.220295,400,평택제천선,37.02849729038027,127.07591544331868
3533,0351CZE210,E,207520.545541,492818.967778,400,평택제천선,37.034265098921885,127.08452736776013
3534,0351CZE210,E,208352.000914,493132.900829,400,평택제천선,37.03708684847264,127.09387600333899
3535,0351CZE210,E,209329.161047,492962.759624,400,평택제천선,37.035544550171835,127.10485710236712
3536,0351CZS010,S,210191.09376199997,492704.62967299996,400,평택제천선,37.0332096481799,127.1145414693736
3537,0351CZS010,S,211083.819512,492682.223704,400,평택제천선,37.03299764395002,127.12457479353725
3538,0351CZS020,S,212051.424555,492933.427928,400,평택제천선,37.03524926598833,127.13545402724043
3539,0351CZS020,S,213326.221376,493139.627887,400,평택제천선,37.03709005827188,127.14978592892206
3540,0351CZS020,S,214319.537269,492708.609872,400,평택제천선,37.03319164999731,127.16094250486398
3541,0351CZS020,S,215244.300546,490965.2132020001,400,평택제천선,37.017467794548615,127.17130093873716
3542,0351CZS020,S,216013.79098000002,490369.56947399996,400,평택제천선,37.01208779792191,127.17993504744886
3543,0351CZS020,S,217581.53206700002,489328.65582,400,평택제천선,37.00268036215239,127.19752622558332
3544,0351CZS020,S,219187.46980500003,488155.488468,400,평택제천선,36.99207783160899,127.21553877804187
3545,0351CZS030,S,220868.618304,487297.52091,400,평택제천선,36.98431109517088,127.23439977838831
3546,0351CZS030,S,222487.498777,486026.592379,400,평택제천선,36.972821757431156,127.25254530875098
3547,0351CZS040,S,224536.094986,485603.233587,400,평택제천선,36.96895580648796,127.27553803580372
3548,0351CZS040,S,225670.16500100002,485942.797598,400,평택제천선,36.97198529759702,127.28828493069321
3549,0351CZS040,S,227100.297762,486341.6676,400,평택제천선,36.975539327704126,127.30435993264031
3550,0351CZS040,S,228393.04733099998,486441.022084,400,평택제천선,36.976396476900874,127.31888217097074
3551,0351CZS040,S,229791.700144,486977.10149399994,400,평택제천선,36.981183699972995,127.33461134581965
3552,0351CZS040,S,230877.878022,486979.004741,400,평택제천선,36.98116583878639,127.346810844608
3553,0351CZS040,S,233199.59391,486294.35341000004,400,평택제천선,36.97491763496725,127.37285705924937
3554,0351CZS040,S,234894.59394000002,485838.06005699997,400,평택제천선,36.97074482644643,127.39187174280963
3555,0351CZS040,S,235518.731406,485339.1853770001,400,평택제천선,36.96622629986521,127.39885729702958
3556,0351CZS050,S,236118.05285799998,484809.275628,400,평택제천선,36.96142866954422,127.40556189264183
3557,0351CZS050,S,235139.183407,485664.50237,400,평택제천선,36.96917186068503,127.39461038871511
3558,0351CZS050,S,236492.607195,484478.05769600003,400,평택제천선,36.95842974050917,127.40975159392423
3559,0351CZS050,S,238190.34580100002,483664.3719520001,400,평택제천선,36.951030603852296,127.42877281074973
3560,0351CZS050,S,240100.39887600002,483075.567547,400,평택제천선,36.945645747383374,127.45018565754806
3561,0351CZS050,S,241139.287179,482717.824263,400,평택제천선,36.942377477814,127.46182890211679
3562,0351CZS060,S,241920.11128800001,482559.484066,400,평택제천선,36.940916328305256,127.47058537914953
3563,0351CZS060,S,243605.892374,482824.44923900004,400,평택제천선,36.943227330713995,127.48952422129314
3564,0351CZS060,S,244500.67471300001,482914.042463,400,평택제천선,36.94399278943339,127.4995740666655
3565,0351CZS060,S,245498.93632399998,482972.85637,400,평택제천선,36.94447506702319,127.51078390167967
3566,0351CZS070,S,247424.27372199998,483383.06578400003,400,평택제천선,36.94807634048493,127.53242317272655
3567,0351CZS070,S,249542.32951999997,484170.401743,400,평택제천선,36.95506162466751,127.55625276587728
3568,0351CZS070,S,249542.32951999997,484170.401743,400,평택제천선,36.95506162466751,127.55625276587728
3569,0351CZS070,S,251534.651286,485036.659053,400,평택제천선,36.96276008475006,127.57868025619396
3570,0351CZS070,S,252943.199281,486279.894038,400,평택제천선,36.97388397943373,127.59458313397764
3571,0351CZS070,S,253874.425181,487032.810477,400,평택제천선,36.98061519059472,127.60509453311707
3572,0351CZS070,S,254957.84325700003,487726.612057,400,평택제천선,36.9868039257353,127.61731289304817
3573,0351CZS070,S,254957.84325700003,487726.612057,400,평택제천선,36.9868039257353,127.61731289304817
3574,0351CZS070,S,256910.255256,489036.601425,400,평택제천선,36.99849122618639,127.63934089681493
3575,0351CZS080,S,258838.926715,490247.698675,400,평택제천선,37.00928479763347,127.66110116165693
3576,0351CZS080,S,260624.069282,490248.666188,400,평택제천선,37.00918010119697,127.68115743541905
3577,0351CZS080,S,263075.124622,490399.961109,400,평택제천선,37.010382044723706,127.70870767948202
3578,0351CZS080,S,263877.418551,491135.954025,400,평택제천선,37.01695924126152,127.71778392388246
3579,0351CZS080,S,264410.542633,492208.94521700003,400,평택제천선,37.02659058433202,127.72386586795051
3580,0351CZS080,S,264914.724507,492827.20787299995,400,평택제천선,37.03212646217172,127.72958488696823
3581,0351CZS080,S,266304.424044,493582.738799,400,평택제천선,37.0388367416828,127.74526923278287
3582,0351CZS080,S,266304.424044,493582.738799,400,평택제천선,37.0388367416828,127.74526923278287
3583,0351CZS090,S,266798.38508800004,493656.025633,400,평택제천선,37.039462052608236,127.75082748066777
3584,0351CZS090,S,268872.102792,493359.334492,400,평택제천선,37.03663909931349,127.77410744426572
3585,0351CZS090,S,271632.738559,493510.778953,400,평택제천선,37.037797112460794,127.80514806170304
3586,0351CZS090,S,273677.399694,493862.246247,400,평택제천선,37.0408056020671,127.82816218030608
3587,0351CZS100,S,275195.340733,494794.47837200004,400,평택제천선,37.04908448716259,127.84531587860326
3588,0351CZS100,S,275993.561231,496406.93328500004,400,평택제천선,37.063548005085586,127.85445114101913
3589,0351CZS100,S,278086.434741,497070.75724799995,400,평택제천선,37.069357008024646,127.87804930578227
3590,0351CZS110,S,279780.85535100003,496933.45901800005,400,평택제천선,37.06797744188862,127.89708568269808
3591,0351CZS110,S,281247.07916799997,496620.750184,400,평택제천선,37.06503424234652,127.91353676800189
3592,0351CZS110,S,282636.791378,496451.73745699995,400,평택제천선,37.06339015355554,127.9291421711177
3593,0351CZS120,S,284425.975105,496275.692446,400,평택제천선,37.06164480949652,127.94923694103306
3594,0351CZS120,S,285448.991935,496645.428646,400,평택제천선,37.064883338741005,127.96077970030797
3595,0351CZS120,S,286647.65545799996,497368.73879300006,400,평택제천선,37.071290016745934,127.97433894827121
3596,0351CZS120,S,288620.294067,497861.02508,400,평택제천선,37.07554091914905,127.99657597245064
3597,0351CZS120,S,290586.147519,496901.911995,400,평택제천선,37.06671219714168,128.01856417394828
3598,0351CZS120,S,291617.30580100004,496532.68864099996,400,평택제천선,37.06328564521898,128.03011198879628
3599,0351CZS130,S,293105.56031599996,496580.583684,400,평택제천선,37.06357065956463,128.04684879321906
3600,0351CZS130,S,293889.895288,496738.09408999997,400,평택제천선,37.06491155185491,128.05568591056496
3601,0351CZS130,S,295169.783454,496958.838987,400,평택제천선,37.06677133661192,128.07010247751933
3602,0351CZS130,S,296065.031754,496893.976013,400,평택제천선,37.06609574555856,128.08015886722418
3603,0351CZS130,S,297052.74803099997,496741.771019,400,평택제천선,37.0646228731216,128.09124331656446
3604,0351CZS140,S,297951.436029,496755.365413,400,평택제천선,37.06465196468594,128.10134807832696
3605,0351CZS140,S,299218.301648,497037.4413,400,평택제천선,37.06706009002931,128.11562726134636
3606,0351CZS140,S,300180.626808,497309.31644399994,400,평택제천선,37.06940715047837,128.12648213836545
3607,0351CZS140,S,301292.317404,497744.615922,400,평택제천선,37.07320936749071,128.13903897281446
3608,0351CZS140,S,302250.906891,498265.879583,400,평택제천선,37.07780137587001,128.14988732612812
3609,0351CZS140,S,304511.83224,498550.0671270001,400,평택제천선,37.08011235539361,128.17534781456212
